Data_Dimensions,Query_Dimensions,alpha,R,KNN,L_sizelist,R_small,L_small,R_stitched,Filtered_recall,Stitched_recall,Execution_time,thread_num

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.924062, 0.920159, 74.941213, 1

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.924053, 0.920399, 80.704333, 1

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.924072, 0.920712, 59.539468, 2

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.923913, 0.920512, 63.912425, 2

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.923967, 0.920305, 55.900704, 4

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.924145, 0.919996, 56.427839, 4

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.923965, 0.921101, 55.950810, 8

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.924057, 0.920882, 56.334757, 8

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.924077, 0.920018, 54.770833, 16

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.924160, 0.920577, 56.547892, 16

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.923863, 0.921030, 55.735016, 32

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.923955, 0.920465, 58.215993, 32
